"uniqueID","mediaTitle","category","year","countryOrigin","genre","peopleScore","criticScore","tconst","parentTitle"
"sqm061800102m4","The Green Mile","Movie",1999,"USA","Drama",8.5,4.3,"tt0120689","The Green Mile"
"sqm061800103m4","Fiddler on the Roof","Movie",1971,"USA","Family",8,4,"tt0067093","Fiddler on the Roof"
"sqm061800104m4","Snowpiercer","Movie",2013,"KOR","Action",7,3.5,"tt1706620","Snowpiercer"
"sqm061800105m4","Scent of a Woman (1992)","Movie",1992,"USA","Drama",8,4,"tt0105323","Scent of a Woman (1992)"
"sqm061800106m4","The Blind Side","Movie",2009,"USA","Drama",7.7,3.9,"tt0878804","The Blind Side"
"sqm061800107m4","A Beautiful Mind","Movie",2001,"USA","Drama",8.2,4.1,"tt0268978","A Beautiful Mind"
"sqm061800108m4","Easy A","Movie",2010,"USA","Comedy",7.1,3.6,"tt1282140","Easy A"
"sqm061800109m4","Stardust (2007)","Movie",2007,"USA","Family",7.7,3.9,"tt0486655","Stardust (2007)"
"sqm061800110m4","Napoleon Dynamite","Movie",2004,"USA","Comedy",6.9,3.5,"tt0374900","Napoleon Dynamite"
"sqm071800001m4","Pacific Rim: Uprising","Movie",2018,"USA","Action",5.9,3,"tt2557478","Pacific Rim: Uprising"
"sqm071800005m4","Blockers","Movie",2018,"USA","Comedy",6.7,3.4,"tt2531344","Blockers"
"sqm071800006m4","Sherlock Gnomes","Movie",2018,"GBR","Family",4.8,2.4,"tt2296777","Sherlock Gnomes"
"sqm071800007m4","Unsane","Movie",2018,"USA","Thriller",6.8,3.4,"tt7153766","Unsane"
"sqm071800008m4","Anon","Movie",2018,"DEU","Thriller",0,0,"tt5397194","Anon"
"sqm071800009m4","The Leisure Seeker","Movie",2017,"ITA","Drama",6.6,3.3,"tt3741632","The Leisure Seeker"
"sqm071800011m4","Permission","Movie",2017,"USA","Drama",5.3,2.7,"tt5390066","Permission"
"sqm071800012m4","The Pretend One","Movie",2017,"AUS","Drama",0,0,"tt4839458","The Pretend One"
"sqm071800014m4","The Full House","Movie",2018,"FRA","Comedy",5.4,2.7,"tt7533956","The Full House"
"sqm071800015m4","The Prayer","Movie",2018,"FRA","Drama",7.4,3.7,"tt7839456","The Prayer"
"sqm071800016m4","Suck Me Shakespeer 3","Movie",2017,"DEU","Comedy",5.4,2.7,"tt6471264","Suck Me Shakespeer 3"
"sqm071800017m4","I Can Quit Whenever I Want: Ad Honorem","Movie",2017,"ITA","Comedy",7,3.5,"tt5897292","I Can Quit Whenever I Want: Ad Honorem"
"sqm071800018m4","Empowered","Movie",2018,"ESP","Comedy",6.2,7,"tt6981702","Empowered"
"sqm071800019m4","Agent Mr Chan","Movie",2018,"HKG","Comedy",5.3,2.7,"tt7759626","Agent Mr Chan"
"sqm071800020m4","Girls vs Gangsters","Movie",2018,"CHN","Comedy",3.8,1.9,"tt7870578","Girls vs Gangsters"
"sqm071800021m4","The Monkey King 3","Movie",2018,"CHN","Adventure",5.4,2.7,"tt6466464","The Monkey King 3"
"sqm071800022m4","Operation Red Sea","Movie",2018,"CHN","Action",7.4,3.7,"tt6878882","Operation Red Sea"
"sqm071800023m4","Turn Around","Movie",2017,"TWN","Drama",6.7,3.4,"tt6879340","Turn Around"
"sqm071800024m4","Chihayafuru Part 3","Movie",2018,"JPN","Drama",0,0,"tt6821870","Chihayafuru Part 3"
"sqm071800026m4","Oh Lucy!","Movie",2017,"JPN","Comedy",0,0,"tt6343058","Oh Lucy!"
"sqm071800027m4","The Lies She Loved","Movie",2017,"JPN","Mystery",0,0,"tt6733368","The Lies She Loved"
"sqm071800028m4","Detective K: Secret of the Living Dead","Movie",2018,"KOR","Drama",5.8,2.9,"tt7108976","Detective K: Secret of the Living Dead"
"sqm071800029m4","What a Man Wants","Movie",2018,"KOR","Drama",8.1,4.1,"tt8108278","What a Man Wants"
"sqm071800030m4","True Fiction","Movie",2018,"KOR","Drama",8.1,4.1,"tt8383656","True Fiction"
"sqm071800033m4","Bareilly Ki Barfi","Movie",2017,"IND","Comedy",7.5,3.8,"tt6967980","Bareilly Ki Barfi"
"sqm071800034m4","Raid","Movie",2018,"IND","Action",7.7,3.9,"tt7363076","Raid"
"sqm071800035m4","Jagga Jasoos","Movie",2017,"IND","Comedy",6.5,3.3,"tt4129428","Jagga Jasoos"
"sqm071800036m4","Thaanaa Serndha Koottam","Movie",2018,"IND","Action",7.3,3.7,"tt6237966","Thaanaa Serndha Koottam"
"sqm071800037m4","Aamhi Doghi","Movie",2018,"IND","Drama",8,4,"tt7748478","Aamhi Doghi"
"sqm071800039m4","Karsandas Pay and Use","Movie",2017,"IND","Comedy",7.8,3.9,"tt6771678","Karsandas Pay and Use"
"sqm071800042m4","Habbet Caramel","Movie",2018,"LBN","Comedy",7.9,4,"tt7921302","Habbet Caramel"
"sqm071800002h7","Tomb Raider (2018)","Movie",2018,"USA","Action",6.8,3.4,"tt1365519","Tomb Raider (2018)"
"sqm071800003h7","Isle of Dogs","Movie",2018,"USA","Comedy",8.2,4.1,"tt5104604","Isle of Dogs"
"sqm071800004h7","The Commuter","Movie",2018,"GBR","Action",6.3,3.2,"tt1590193","The Commuter"
"sqm081800001h7","Avengers: Infinity War","Movie",2018,"USA","Action",8.8,4.4,"tt4154756","Avengers: Infinity War"
