"uniqueID","mediaTitle","category","year","countryOrigin","genre","peopleScore","criticScore","tconst","parentTitle"
"sqs081600175m4","Wedgwood for Singapore Airlines","Television",2018,"SGP","travel",0,0,NA,"The Singapore Airlines Experience"
"sqs061500746m4","Singapore Girl Wax Figure","Television",2018,"SGP","travel",0,0,NA,"The Singapore Airlines Experience"
"sqs031600686m4","No Detail Is Too Small","Television",2018,"SGP","travel",0,0,NA,"The Singapore Airlines Experience"
"sqs111400692m4","Singapore (English & Mandarin)","Television",2018,"SGP","travel",0,0,NA,"Destination Guides"
"sqs111400693m4","Singapore (Japanese)","Television",2018,"SGP","travel",0,0,NA,"Destination Guides"
"sqs1108141w4","India","Television",2018,"SGP","travel",0,0,NA,"Destination Guides"
"sqs101400712m4","Our New Home at London Heathrow...","Television",2018,"SGP","travel",0,0,NA,"Destination Guides"
"sqs091400709m4","South Australia","Television",2018,"SGP","travel",0,0,NA,"Destination Guides"
"sqs071600694m4","Biosecurity Advisory New Zealand","Television",2018,"SGP","travel",0,0,NA,"Destination Guides"
"sqs071600695m4","Passenger Health Advisory Taiwan","Television",2018,"SGP","travel",0,0,NA,"Destination Guides"
"sqs021400706m4","New Business Class Seat","Television",2018,"SGP","travel",0,0,NA,"The Singapore Airlines Experience"
"sqs121600190m4","Bali","Television",2018,"SGP","travel",0,0,NA,"Destination Guides"
"sqs041700157m4","Bioscreening Advisory Singapore","Television",2018,"SGP","travel",0,0,NA,"Destination Guides"
"sqs061700140m4","Brisbane","Television",2017,"SGP","travel",0,0,NA,"Destination Guides"
"sqs061700141m4","Melbourne","Television",2017,"SGP","travel",0,0,NA,"Destination Guides"
"sqs061700142m4","Perth","Television",2017,"SGP","travel",0,0,NA,"Destination Guides"
"sqs061700143m4","Sydney","Television",2017,"SGP","travel",0,0,NA,"Destination Guides"
"sqs081700169m4","The Magic Pen","Television",2017,"SGP","travel",0,0,NA,"The Singapore Airlines Experience"
"sqs101700159m4","A journey through your glass of wine with…","Television",2017,"SGP","travel",0,0,NA,"The Singapore Airlines Experience"
"sqs051800177m4","Star Alliance Product Benefit Film","Television",2018,"SGP","travel",0,4,NA,"The Singapore Airlines Experience"
"sqs061800218m4","Stay Connected with Singapore Airlines","Television",2018,"SGP","travel",0,0,NA,"The Singapore Airlines Experience"
"sqs071800209m4","New Business Class Seat","Television",2018,"SGP","travel",0,0,NA,"The Singapore Airlines Experience"
"sqs071800210m4","New A380 Business Class Seat","Television",2018,"SGP","travel",0,0,NA,"The Singapore Airlines Experience"
"sqs081800232m4","New Regional Business Class Seat","Television",2018,"SGP","travel",0,4,NA,"The Singapore Airlines Experience"
"sqs091800185m4","Benjamin Barker","Television",2018,"SGP","travel",0,4,NA,"The Singapore Airlines Experience"
"sqs091800186m4","Singapore Airlines Airbus A350-900 Ultra Long Range","Television",2018,"SGP","travel",0,4,NA,"The Singapore Airlines Experience"
"sqs091800213m4","Biosecurity Advisory Australia","Television",2018,"SGP","travel",0,0,NA,"Destination Guides"
"sqs101800239m4","Insider TV - Inside Bangkok","Television",2017,"SGP","travel",0,4,NA,"Destination Guides"
"sqs101800240m4","Insider TV - Inside Hong Kong","Television",2015,"SGP","travel",0,4,NA,"Destination Guides"
"sqs101800241m4","Insider TV - Inside Shanghai","Television",2017,"SGP","travel",0,4,NA,"Destination Guides"
"sqs121800054m4","The Grand Design (Ep1)","Television",2013,NA,"Comedy",5.7,NA,"tt2612376","YES, PRIME MINISTER"
"sqs121800001m4","Ep 1 What's Wrong with Secretary Kim","Television",2018,"KOR","Comedy,Mystery,Romance",8.2,NA,"tt8242904","WHAT'S WRONG WITH SECRETARY KIM"
"sqs121800164m4","Joseph Gordon-Levitt (Ep1)","Television",2014,"USA","Adventure,Reality-TV",7.8,NA,"tt3816666","RUNNING WILD WITH BEAR GRYLLS"
"sqs121800110m4","Mermaid Man Begins / Plankton's Good Eye","Television",1999,"USA","Animation,Comedy,Family",8.1,NA,"tt0206512","SPONGEBOB SQUAREPANTS"
"sqs121800003m4","Ep 3 What's Wrong with Secretary Kim","Television",2018,"KOR","Comedy,Mystery,Romance",8.2,NA,"tt8242904","WHAT'S WRONG WITH SECRETARY KIM"
"sqs121800009m4","Ep 9 What's Wrong with Secretary Kim","Television",2018,"KOR","Comedy,Mystery,Romance",8.2,NA,"tt8242904","WHAT'S WRONG WITH SECRETARY KIM"
"sqs121800065m4","Three Directors (S01, Ep5)","Television",1999,"USA","Animation,Comedy",8.2,NA,"tt0182576","FAMILY GUY"
"sqs121800159m4","Historic Home for a New Family (Ep4)","Television",2013,"USA","Reality-TV",8.4,NA,"tt4591390","FIXER UPPER"
"sqs121800144m4","Atlantis in America (Ep5)","Television",2017,"USA","Documentary",6.7,NA,"tt6528874","SECRETS OF THE UNDERGROUND"
"sqs121800156m4","Sichuan (Ep3)","Television",2013,"USA","Documentary",8.7,NA,"tt2845786","ANTHONY BOURDAIN: PARTS UNKNOWN"
"sqs121800016m4","Ep 16 What's Wrong with Secretary Kim","Television",2018,"KOR","Comedy,Mystery,Romance",8.2,NA,"tt8242904","WHAT'S WRONG WITH SECRETARY KIM"
"sqs121800006m4","Ep 6 What's Wrong with Secretary Kim","Television",2018,"KOR","Comedy,Mystery,Romance",8.2,NA,"tt8242904","WHAT'S WRONG WITH SECRETARY KIM"
"sqs121800055m4","The Ministerial Broadcast (Ep2)","Television",2013,NA,"Comedy",5.7,NA,"tt2612376","YES, PRIME MINISTER"
"sqs121800047m4","Here's Looking At You (S01, Ep5)","Television",1993,"USA","Comedy",8.1,NA,"tt0106004","FRASIER"
"sqs121800059m4","A Victory for Democracy (Ep6)","Television",2013,NA,"Comedy",5.7,NA,"tt2612376","YES, PRIME MINISTER"
"sqs121800068m4","Crimes and Meg's Demeanor  (S01, Ep8)","Television",1999,"USA","Animation,Comedy",8.2,NA,"tt0182576","FAMILY GUY"
"sqs121800163m4","Ep 7 QI","Television",2003,"GBR","Comedy,Game-Show",8.6,NA,"tt0380136","QI"
"sqs121800007m4","Ep 7 What's Wrong with Secretary Kim","Television",2018,"KOR","Comedy,Mystery,Romance",8.2,NA,"tt8242904","WHAT'S WRONG WITH SECRETARY KIM"
"sqs121800002m4","Ep 2 What's Wrong with Secretary Kim","Television",2018,"KOR","Comedy,Mystery,Romance",8.2,NA,"tt8242904","WHAT'S WRONG WITH SECRETARY KIM"
"sqs121800066m4","The D in Apartment 23  (S01, Ep6)","Television",1999,"USA","Animation,Comedy",8.2,NA,"tt0182576","FAMILY GUY"
"sqs121800172m4","Episode 101","Television",2009,NA,"Sport",NA,NA,"tt8253516","GOLFING WORLD"
"sqs121800013m4","Ep 13 What's Wrong with Secretary Kim","Television",2018,"KOR","Comedy,Mystery,Romance",8.2,NA,"tt8242904","WHAT'S WRONG WITH SECRETARY KIM"
"sqs121800168m4","Kim K's Gold-Eating Bestie & Ferrari Donuts (Ep2)","Television",2013,NA,"Reality-TV",5.9,NA,"tt3216832","SECRET LIVES OF THE SUPER RICH"
