"uniqueID","mediaTitle","category","year","countryOrigin","genre","peopleScore","criticScore"
"sqm121800031m4","Just a Breath Away","Movie",NA,NA,NA,NA,NA
"sqm121800003m4","Love Actually","Movie",NA,NA,NA,NA,NA
"sqm121800022h7","The Predator","Movie",NA,NA,NA,NA,NA
"sqm121800026m4","Papillon","Movie",NA,NA,NA,NA,NA
"sqm121800019m4","BlacKkKlansman","Movie",NA,NA,NA,NA,NA
"sqm121800001m4","Daddy's Home 2","Movie",NA,NA,NA,NA,NA
"sqm121800021m4","Searching","Movie",NA,NA,NA,NA,NA
"sqm121800024m4","Sorry to Bother You","Movie",NA,NA,NA,NA,NA
"sqm121800060m4","Monstrum","Movie",NA,NA,NA,NA,NA
"sqm121800017h7","Crazy Rich Asians","Movie",NA,NA,NA,NA,NA
"sqm121800084m4","Arrival","Movie",NA,NA,NA,NA,NA
"sqm121800030m4","The New Romantic","Movie",NA,NA,NA,NA,NA
"sqm121800068m4","Cloudy With A Chance Of Meatballs","Movie",NA,NA,NA,NA,NA
"sqm121800065m4","Arthur Christmas","Movie",NA,NA,NA,NA,NA
"sqm121800077m4","The Descendants","Movie",NA,NA,NA,NA,NA
"sqm121800039m4","Genghis Khan","Movie",NA,NA,NA,NA,NA
"sqm121800023m4","Mile 22","Movie",NA,NA,NA,NA,NA
"sqm121800020m4","Alpha","Movie",NA,NA,NA,NA,NA
"sqm121800042m4","L Storm","Movie",NA,NA,NA,NA,NA
"sqm121800052m4","Happy Phirr Bhag Jayegi","Movie",NA,NA,NA,NA,NA
"sqm121800009m4","Indochina","Movie",NA,NA,NA,NA,NA
"sqm121800038m4","Big Brother","Movie",NA,NA,NA,NA,NA
"sqm121800046m4","Gintama 2:  Rules Are Made To Be Broken","Movie",NA,NA,NA,NA,NA
"sqm121800018h7","Christopher Robin","Movie",NA,NA,NA,NA,NA
"sqm121800061m4","On Your Wedding Day","Movie",NA,NA,NA,NA,NA
"sqm121800072m4","Predator","Movie",NA,NA,NA,NA,NA
"sqm121800050m4","Aiyaary","Movie",NA,NA,NA,NA,NA
"sqm121800066m4","The Polar Express","Movie",NA,NA,NA,NA,NA
"sqm121800025m4","The Children Act","Movie",NA,NA,NA,NA,NA
"sqm121800067m4","Storks","Movie",NA,NA,NA,NA,NA
"sqm121800047m4","Life in Overtime","Movie",NA,NA,NA,NA,NA
"sqm121800032m4","The Magic Tuche","Movie",NA,NA,NA,NA,NA
"sqm121800048m4","My Dad is a Heel Wrestler","Movie",NA,NA,NA,NA,NA
"sqm121800034m4","In the Aisles","Movie",NA,NA,NA,NA,NA
"sqm121800036m4","The Girl in the Fog","Movie",NA,NA,NA,NA,NA
"sqm121800044m4","Monkey King Reloaded","Movie",NA,NA,NA,NA,NA
"sqm121800011m4","Parched","Movie",NA,NA,NA,NA,NA
"sqm121800064m4","The Nightmare Before Christmas","Movie",NA,NA,NA,NA,NA
"sqm121800079m4","Hairspray","Movie",NA,NA,NA,NA,NA
"sqm121800045m4","The Way of the Bug","Movie",NA,NA,NA,NA,NA
"sqm121800074m4","Pick of the Litter","Movie",NA,NA,NA,NA,NA
"sqm121800004m4","Elf","Movie",NA,NA,NA,NA,NA
"sqm121800069m4","The Lion King","Movie",NA,NA,NA,NA,NA
"sqm121800040m4","House of the Rising Sons","Movie",NA,NA,NA,NA,NA
"sqm121800085m4","Jackie","Movie",NA,NA,NA,NA,NA
"sqm121800073m4","Predators","Movie",NA,NA,NA,NA,NA
"sqm121800028m4","The Man Who Invented Christmas","Movie",NA,NA,NA,NA,NA
"sqm121800033m4","Raising Colors","Movie",NA,NA,NA,NA,NA
"sqm121800027m4","The Wife","Movie",NA,NA,NA,NA,NA
"sqm121800078m4","The Nice Guys","Movie",NA,NA,NA,NA,NA
"sqm121800054m4","Abrahaminte Santhathikal","Movie",NA,NA,NA,NA,NA
"sqm121800006m4","The Queen","Movie",NA,NA,NA,NA,NA
"sqm121800053m4","Junga","Movie",NA,NA,NA,NA,NA
"sqm121800029m4","An American in Paris: The Musical","Movie",NA,NA,NA,NA,NA
"sqm121800049m4","Think Again, Junpei","Movie",NA,NA,NA,NA,NA
"sqm121800076m4","CinemAbility","Movie",NA,NA,NA,NA,NA
"sqm121800075m4","Far from the Tree","Movie",NA,NA,NA,NA,NA
"sqm121800082m4","John Wick","Movie",NA,NA,NA,NA,NA
"sqm121800051m4","Fukrey Returns","Movie",NA,NA,NA,NA,NA
"sqm121800041m4","The Island","Movie",NA,NA,NA,NA,NA
"sqm121800180m4","Gwen Stefani: You Make It Feel Like Christmas","Movie",NA,NA,NA,NA,NA
"sqm121800043m4","Long Time No Sea","Movie",NA,NA,NA,NA,NA
"sqm121800035m4","Playmaker","Movie",NA,NA,NA,NA,NA
"sqm121800059m4","Along with the Gods: The last 49 days","Movie",NA,NA,NA,NA,NA
"sqm121800070m4","Winnie the Pooh","Movie",NA,NA,NA,NA,NA
"sqm121800008m4","The Wizard of Oz (1939)","Movie",NA,NA,NA,NA,NA
"sqm121800080m4","Bernie","Movie",NA,NA,NA,NA,NA
"sqm121800002m4","Daddy's Home","Movie",NA,NA,NA,NA,NA
"sqm121800092m4","Dallas Buyers Club","Movie",NA,NA,NA,NA,NA
"sqm121800081m4","Smallfoot","Movie",NA,NA,NA,NA,NA
"sqm121800071m4","James and the Giant Peach","Movie",NA,NA,NA,NA,NA
"sqm121800007m4","It's a Wonderful Life","Movie",NA,NA,NA,NA,NA
"sqm121800005m4","Spotlight","Movie",NA,NA,NA,NA,NA
"sqm121800089m4","TRON: Legacy","Movie",NA,NA,NA,NA,NA
"sqm121800056m4","Balu Mahi","Movie",NA,NA,NA,NA,NA
"sqm121800037m4","The Best Summer of My Life","Movie",NA,NA,NA,NA,NA
"sqm121800094m4","Brooklyn","Movie",NA,NA,NA,NA,NA
"sqm121800093m4","Carol","Movie",NA,NA,NA,NA,NA
"sqm121800090m4","8 Mile","Movie",NA,NA,NA,NA,NA
"sqm121800058m4","Nikka Zaildar 2","Movie",NA,NA,NA,NA,NA
"sqm121800083m4","John Wick: Chapter 2","Movie",NA,NA,NA,NA,NA
"sqm121800086m4","Elle","Movie",NA,NA,NA,NA,NA
"sqm121800087m4","Speed","Movie",NA,NA,NA,NA,NA
"sqm061800102m4","The Green Mile","Movie",1999,"USA","Drama","8.50","4.30"
"sqm061800103m4","Fiddler on the Roof","Movie",1971,"USA","Family","8.00","4.00"
"sqm061800104m4","Snowpiercer","Movie",2013,"KOR","Action","7.00","3.50"
"sqm061800105m4","Scent of a Woman (1992)","Movie",1992,"USA","Drama","8.00","4.00"
"sqm061800106m4","The Blind Side","Movie",2009,"USA","Drama","7.70","3.90"
"sqm061800107m4","A Beautiful Mind","Movie",2001,"USA","Drama","8.20","4.10"
"sqm061800108m4","Easy A","Movie",2010,"2010","Comedy","Comedy","After a little white lie about losing her virginity gets out, a clean cut high school girl sees her life paralleling Hester Prynne's in The Scarlet Letter."",,734382,http://videos.singaporeair.com/i/SQ1806_easya_apptrailer.mp4/master.m3u43,USA,7.10,3.60
734382,1,""Easy A (T)"
"sqm061800109m4","Stardust (2007)","Movie",2007,"USA","Family","7.70","3.90"
"sqm061800110m4","Napoleon Dynamite","Movie",2004,"USA","Comedy","6.90","3.50"
"sqm071800001m4","Pacific Rim: Uprising","Movie",2018,"USA","Action","5.90","3.00"
"sqm071800005m4","Blockers","Movie",2018,"USA","Comedy","6.70","3.40"
"sqm071800006m4","Sherlock Gnomes","Movie",2018,"GBR","Family","4.80","2.40"
"sqm071800007m4","Unsane","Movie",2018,"USA","Thriller","6.80","3.40"
"sqm071800008m4","Anon","Movie",2018,"DEU","Thriller","0.00","0.00"
"sqm071800009m4","The Leisure Seeker","Movie",2017,"ITA","Drama","6.60","3.30"
