"","uniqueID","mediaTitle","category","year","countryOrigin","genre","peopleScore","criticScore","imdbID","runtimeMinutes","imdbRating","imdbVotes","oCountry"
"1","sqm061800102m4","The Green Mile","Movie",1999,"USA","Drama",8.5,4.3,"tt0120689",189,8.5,989548,"USA"
"2","sqm061800103m4","Fiddler on the Roof","Movie",1971,"USA","Family",8,4,"tt0067093",181,8,34592,"USA"
"3","sqm061800104m4","Snowpiercer","Movie",2013,"KOR","Action",7,3.5,"tt1706620",126,7.1,231590,"KOR"
"4","sqm061800105m4","Scent of a Woman (1992)","Movie",1992,"USA","Drama",8,4,"tt0105323",156,8,228385,"USA"
"5","sqm061800106m4","The Blind Side","Movie",2009,"USA","Drama",7.7,3.9,"tt0878804",129,7.7,262741,"USA"
"6","sqm061800107m4","A Beautiful Mind","Movie",2001,"USA","Drama",8.2,4.1,"tt0268978",135,8.2,757011,"USA"
"7","sqm061800108m4","Easy A","Movie",2010,"USA","Comedy",NA,NA,"tt1282140",92,7.1,324797,"USA"
"8","sqm061800109m4","Stardust (2007)","Movie",2007,"USA","Family",7.7,3.9,"tt0486655",127,7.7,236912,"GBR"
"9","sqm061800110m4","Napoleon Dynamite","Movie",2004,"USA","Comedy",6.9,3.5,"tt0374900",96,6.9,181779,"USA"
"10","sqm071800001m4","Pacific Rim: Uprising","Movie",2018,"USA","Action",5.9,3,"tt2557478",111,5.6,83744,"GBR"
"11","sqm071800005m4","Blockers","Movie",2018,"USA","Comedy",6.7,3.4,"tt2531344",102,6.2,52077,"USA"
"12","sqm071800006m4","Sherlock Gnomes","Movie",2018,"GBR","Family",4.8,2.4,"tt2296777",86,5.1,7109,"GBR"
"13","sqm071800007m4","Unsane","Movie",2018,"USA","Thriller",6.8,3.4,"tt7153766",98,6.4,28941,"USA"
"14","sqm071800008m4","Anon","Movie",2018,"DEU","Thriller",0,0,"tt5397194",100,6.1,26751,"DEU"
"15","sqm071800009m4","The Leisure Seeker","Movie",2017,"ITA","Drama",6.6,3.3,"tt3741632",112,6.6,4788,"ITA"
"16","sqm071800011m4","Permission","Movie",2017,"USA","Drama",5.3,2.7,"tt5390066",96,5.3,2849,"USA"
"17","sqm071800012m4","The Pretend One","Movie",2017,"AUS","Drama",0,0,"tt4839458",86,6.5,102,"AUS"
"18","sqm071800014m4","The Full House","Movie",2018,"FRA","Comedy",5.4,2.7,"tt7533956",105,5.1,411,"FRA"
"19","sqm071800015m4","The Prayer","Movie",2018,"FRA","Drama",7.4,3.7,"tt7839456",107,6.9,624,"FRA"
"20","sqm071800016m4","Suck Me Shakespeer 3","Movie",2017,"DEU","Comedy",5.4,2.7,"tt6471264",120,5.4,3391,"DEU"
"21","sqm071800017m4","I Can Quit Whenever I Want: Ad Honorem","Movie",2017,"ITA","Comedy",7,3.5,"tt5897292",98,6.9,1416,"ITA"
"22","sqm071800018m4","Empowered","Movie",2018,"ESP","Comedy",7,3.5,"tt6981702",87,6.1,1309,"ESP"
"23","sqm071800019m4","Agent Mr Chan","Movie",2018,"HKG","Comedy",5.3,2.7,"tt7759626",101,5.1,321,"CHN"
"24","sqm071800020m4","Girls vs Gangsters","Movie",2018,"CHN","Comedy",3.8,1.9,"tt7870578",120,3.4,129,"CHN"
"25","sqm071800021m4","The Monkey King 3","Movie",2018,"CHN","Adventure",5.4,2.7,"tt6466464",114,5.5,901,"CHN"
"26","sqm071800022m4","Operation Red Sea","Movie",2018,"CHN","Action",7.4,3.7,"tt6878882",142,6.8,4118,"CHN"
"27","sqm071800023m4","Turn Around","Movie",2017,"TWN","Drama",6.7,3.4,"tt6879340",108,6.7,64,"TWN"
"28","sqm071800024m4","Chihayafuru Part 3","Movie",2018,"JPN","Drama",0,0,"tt6821870",NA,7.6,202,"JPN"
"29","sqm071800026m4","Oh Lucy!","Movie",2017,"JPN","Comedy",0,0,"tt6343058",95,6.8,2033,"JPN"
"30","sqm071800027m4","The Lies She Loved","Movie",2017,"JPN","Mystery",0,0,"tt6733368",117,6.3,199,"JPN"
"31","sqm071800028m4","Detective K: Secret of the Living Dead","Movie",2018,"KOR","Drama",5.8,2.9,"tt7108976",120,6.1,256,"KOR"
"32","sqm071800029m4","What a Man Wants","Movie",2018,"KOR","Drama",8.1,4.1,"tt8108278",100,6.3,177,"KOR"
"33","sqm071800030m4","True Fiction","Movie",2018,"KOR","Drama",8.1,4.1,"tt8383656",102,6,46,"KOR"
"34","sqm071800032m4","Posesif","Movie",2017,"IDN","Drama",7.6,3.8,"tt7541708",102,7.5,504,"IDN"
"35","sqm071800033m4","Bareilly Ki Barfi","Movie",2017,"IND","Comedy",7.5,3.8,"tt6967980",116,7.5,12011,"IND"
"36","sqm071800034m4","Raid","Movie",2018,"IND","Action",7.7,3.9,"tt7363076",122,7.4,10780,"IND"
"37","sqm071800035m4","Jagga Jasoos","Movie",2017,"IND","Comedy",6.5,3.3,"tt4129428",161,6.4,7736,"IND"
"38","sqm071800036m4","Thaanaa Serndha Koottam","Movie",2018,"IND","Action",7.3,3.7,"tt6237966",138,7.1,4257,"IND"
"39","sqm071800037m4","Aamhi Doghi","Movie",2018,"IND","Drama",8,4,"tt7748478",NA,7.7,137,"IND"
"40","sqm071800039m4","Karsandas Pay and Use","Movie",2017,"IND","Comedy",7.8,3.9,"tt6771678",136,7.6,326,"IND"
"41","sqm071800042m4","Habbet Caramel","Movie",2018,"LBN","Comedy",7.9,4,"tt7921302",107,6.3,53,"LBN"
"42","sqm071800002h7","Tomb Raider (2018)","Movie",2018,"USA","Action",6.8,3.4,"tt1365519",119,6.3,153752,"GBR"
"43","sqm071800003h7","Isle of Dogs","Movie",2018,"USA","Comedy",8.2,4.1,"tt5104604",101,7.9,96847,"DEU"
"44","sqm071800004h7","The Commuter","Movie",2018,"GBR","Action",6.3,3.2,"tt1590193",105,6.3,77219,"FRA"
"45","sqm081800001h7","Avengers: Infinity War","Movie",2018,"USA","Action",8.8,4.4,"tt4154756",149,8.5,586487,"USA"
"46","sqm081800002h7","Ready Player One","Movie",2018,"USA","Action",7.8,3.9,"tt1677720",140,7.5,278955,"USA"
"47","sqm081800003h7","A Quiet Place","Movie",2018,"USA","Thriller",8,4,"tt6644200",90,7.6,275136,"USA"
"48","sqm081800004m4","Rampage","Movie",2018,"USA","Action",6.5,3.3,"tt2231461",107,6.1,106471,"USA"
"49","sqm081800005m4","Backstabbing for Beginners","Movie",2018,"DNK","Drama",6,3,"tt5153288",108,6.2,2813,"DNK"
"50","sqm081800006m4","I Kill Giants","Movie",2017,"BEL","Drama",6.4,3.2,"tt4547194",106,6.2,22057,"BEL"
"51","sqm081800007m4","Lean on Pete","Movie",2017,"GBR","Drama",7.4,3.7,"tt5340300",121,7.2,7953,"GBR"
"52","sqm081800008m4","The Miracle Season","Movie",2018,"USA","Drama",6.3,3.2,"tt5427194",101,6.5,2805,"USA"
"53","sqm081800009m4","Tully","Movie",2018,"USA","Drama",7.4,3.7,"tt5610554",95,7,36482,"USA"
"54","sqm081800010m4","Zoo","Movie",2018,"IRL","Family",8.2,4.1,"tt7624934",95,7.3,43,"DNK"
"55","sqm081800011m4","The Jungle Bunch","Movie",2017,"FRA","Family",5,2.5,"tt6314690",97,5.1,546,"FRA"
"56","sqm081800012m4","Belle and Sebastian, Friends for Life","Movie",2017,"FRA","Family",6.3,3.2,"tt6449336",97,6.3,285,"FRA"
