"uniqueID","mediaTitle","category"
"sqc121800005m4","Singapore Life 1812 eX","Other"
"sqm121800179m4","KrisWorld Highlights December 2018 edition","Other"
"sqc121800002m4","DBS (45s) 1812 eX","Other"
"sqc121800004m4","Shanghai Trust 1812 eX","Other"
"sqc121800001m4","UOB (60s) 1812 eX","Other"
"sqc121800008m4","Mundipharma 1812 eX","Other"
"sqc121800009m4","Hermes 1812 eX","Other"
"sqc121800006m4","Hyundai Korea 1812 eX","Other"
"sqc121800010m4","Bulgari 1812 eX","Other"
"sqc121800003m4","Standard Chartered 1812 eX","Other"
"sqc121800011m4","Hublot (BB) 1812 eX","Other"
"sqc121800007m4","OSIM 1812 eX","Other"
"sqt121800064m1","The Nightmare Before Christmas (T)","Other"
"sqt121800023m1","Mile 22 (T)","Other"
"sqt121800022m1","The Predator (T)","Other"
"sqt121800021m1","Searching (T)","Other"
"sqt121800078m4","Venom","Other"
"sqt121800033m1","Raising Colors (T)","Other"
"sqt121800030m1","The New Romantic (T)","Other"
"sqt121800036m1","The Girl in the Fog (T)","Other"
"sqt121800025m1","The Children Act (T)","Other"
"sqt121800017m1","Crazy Rich Asians (T)","Other"
"sqt121800034m1","In the Aisles (T)","Other"
"sqt121800077m4","Smallfoot","Other"
"sqt121800031m1","Just a Breath Away (T)","Other"
"sqg101800036m4","Adult/Language/Violence - ENG/HIN","Other"
"sqt061800108m1","Easy A (T)","Other"
"sqt121800026m1","Papillon (T)","Other"
"sqt121800042m1","L Storm (T)","Other"
"sqt121800074m1","Pick of the Litter (T)","Other"
"sqt121800046m1","Gintama 2:  Rules Are Made To Be Broken (T)","Other"
"sqt121800024m1","Sorry to Bother You (T)","Other"
"sqt121800020m1","Alpha (T)","Other"
"sqt121800058m1","Nikka Zaildar 2 (T)","Other"
"sqt121800037m1","The Best Summer of My Life (T)","Other"
"sqt121800061m1","On Your Wedding Day (T)","Other"
"sqt121800076m1","CinemAbility (T)","Other"
"sqt121800012m1","Apprentice (T)","Other"
"sqt121800029m1","An American in Paris: The Musical (T)","Other"
"sqt121800084m1","Arrival (T)","Other"
"sqt121800001m1","Daddy's Home 2 (T)","Other"
"sqt121800014m1","Ghost World (T)","Other"
"sqt121800028m1","The Man Who Invented Christmas (T)","Other"
"sqt121800002m1","Daddy's Home (T)","Other"
"sqt121800018m1","Christopher Robin (T)","Other"
"sqt121800027m1","The Wife (T)","Other"
"sqt121800041m1","The Island (T)","Other"
"sqt121800072m1","Predator (T)","Other"
"sqt121800045m1","The Way of the Bug (T)","Other"
"sqt121800047m1","Life in Overtime (T)","Other"
"sqt121800073m1","Predators (T)","Other"
"sqt121800052m1","Happy Phirr Bhag Jayegi (T)","Other"
"sqt121800038m1","Big Brother (T)","Other"
"sqt121800049m1","Think Again, Junpei (T)","Other"
"sqt121800079m4","Bad Times at the El Royale","Other"
"sqt121800019m1","BlacKkKlansman (T)","Other"
"sqt121800060m1","Monstrum (T)","Other"
"sqt121800070m1","Winnie the Pooh (T)","Other"
"sqt121800013m1","Two Days, One Night (T)","Other"
"sqt121800048m1","My Dad is a Heel Wrestler (T)","Other"
"sqt121800082m1","John Wick (T)","Other"
"sqt121800035m1","Playmaker (T)","Other"
"sqt121800039m1","Genghis Khan (T)","Other"
