"uniqueID","mediaTitle","category","year","countryOrigin","genre","peopleScore","criticScore"
"sqs121800054m4","The Grand Design (Ep1)","Television",NA,NA,NA,NA,NA
"sqs121800113m4","Ep 10 Ace vs. Ace","Television",NA,NA,NA,NA,NA
"sqs121800019m4","Flight of the Conchords: Live at the London Apollo","Television",NA,NA,NA,NA,NA
"sqs121800106m4","Ice Age: A Mammoth Christmas","Television",NA,NA,NA,NA,NA
"sqs121800001m4","Ep 1 What's Wrong with Secretary Kim","Television",NA,NA,NA,NA,NA
"sqs121800126m4","My Crazy Single Life","Television",NA,NA,NA,NA,NA
"sqs121800100m4","Miss Sharp Begins to Make Friends (Ep2)","Television",NA,NA,NA,NA,NA
"sqs121800102m4","In Which Becky Joins Her Regiment (Ep4)","Television",NA,NA,NA,NA,NA
"sqs121800164m4","Joseph Gordon-Levitt (Ep1)","Television",NA,NA,NA,NA,NA
"sqs121800110m4","Mermaid Man Begins / Plankton's Good Eye","Television",NA,NA,NA,NA,NA
"sqs121800115m4","Ep 1 China Reinvents Itself","Television",NA,NA,NA,NA,NA
"sqs121800173m4","Premier League Goals of the Season: 2017/18","Television",NA,NA,NA,NA,NA
"sqs121800128m4","Ep 2 BG","Television",NA,NA,NA,NA,NA
"sqs121800122m4","Ep 4 Singer 2018","Television",NA,NA,NA,NA,NA
"sqs121800099m4","Miss Sharp in the Presence of the Enemy (Ep1)","Television",NA,NA,NA,NA,NA
"sqs121800003m4","Ep 3 What's Wrong with Secretary Kim","Television",NA,NA,NA,NA,NA
"sqs121800009m4","Ep 9 What's Wrong with Secretary Kim","Television",NA,NA,NA,NA,NA
"sqs121800133m4","Ep 7 BG","Television",NA,NA,NA,NA,NA
"sqs121800065m4","Three Directors (S01, Ep5)","Television",NA,NA,NA,NA,NA
"sqs121800143m4","Jackie Chan's Green Heroes","Television",NA,NA,NA,NA,NA
"sqs121800132m4","Ep 6 BG","Television",NA,NA,NA,NA,NA
"sqs121800023m4","What's Sex Got to Do With It? (Ep4)","Television",NA,NA,NA,NA,NA
"sqs121800020m4","The Agony and the 'Ex'-tacy (Ep1)","Television",NA,NA,NA,NA,NA
"sqs121800159m4","Historic Home for a New Family (Ep4)","Television",NA,NA,NA,NA,NA
"sqs121800144m4","Atlantis in America (Ep5)","Television",NA,NA,NA,NA,NA
"sqs121800156m4","Sichuan (Ep3)","Television",NA,NA,NA,NA,NA
"sqs121800016m4","Ep 16 What's Wrong with Secretary Kim","Television",NA,NA,NA,NA,NA
"sqs121800006m4","Ep 6 What's Wrong with Secretary Kim","Television",NA,NA,NA,NA,NA
"sqs121800055m4","The Ministerial Broadcast (Ep2)","Television",NA,NA,NA,NA,NA
"sqs121800047m4","Here's Looking At You (S01, Ep5)","Television",NA,NA,NA,NA,NA
"sqs121800059m4","A Victory for Democracy (Ep6)","Television",NA,NA,NA,NA,NA
"sqs121800148m4","The Great Christmas Bake Off (Ep1)","Television",NA,NA,NA,NA,NA
"sqs121800176m4","Indonesia (Ep12)","Television",NA,NA,NA,NA,NA
"sqs121800149m4","The Great Festive Bake Off (Ep2)","Television",NA,NA,NA,NA,NA
"sqs121800068m4","Crimes and Meg's Demeanor  (S01, Ep8)","Television",NA,NA,NA,NA,NA
"sqs121800140m4","Above and Beyond: NASA's Journey to Tomorrow","Television",NA,NA,NA,NA,NA
"sqs121800127m4","Ep 1 BG","Television",NA,NA,NA,NA,NA
"sqs121800130m4","Ep 4 BG","Television",NA,NA,NA,NA,NA
"sqs121800163m4","Ep 7 QI","Television",NA,NA,NA,NA,NA
"sqs121800007m4","Ep 7 What's Wrong with Secretary Kim","Television",NA,NA,NA,NA,NA
"sqs121800002m4","Ep 2 What's Wrong with Secretary Kim","Television",NA,NA,NA,NA,NA
"sqs121800066m4","The D in Apartment 23  (S01, Ep6)","Television",NA,NA,NA,NA,NA
